wavenumber,M1,M2,PHEMA
4000,0.1836345205942797,0.18545713409966597,0.18594006523373752
3992,0.18240646301039976,0.18423899096169719,0.18570468846285135
3984,0.18170436590654052,0.18287445922039225,0.18478516301207371
3976,0.18172712310618355,0.18180547800773958,0.18346015652205655
3968,0.18240768153351095,0.18136554984122202,0.18215710642703545
3960,0.18343764278853014,0.18165737953690028,0.18129539442488554
3952,0.18438041360756099,0.18251519211627665,0.18113247657301199
3944,0.18483139063991333,0.18356555515542097,0.18166942342263417
3936,0.18456640822013937,0.18436439003642086,0.18265052723671019
3928,0.18362398408743846,0.18455990307838088,0.18365712040208548
3920,0.182291187341109,0.18402165759807662,0.18426118333802979
3912,0.18099831363737814,0.18288843074310152,0.18418238361400896
3904,0.18016101098626594,0.18151729656702065,0.18339092908901675
3896,0.1800277797265028,0.18035261661560656,0.18211849855996284
3888,0.18058879848649756,0.17976300499044626,0.18077323949656432
3880,0.18157952761651541,0.17990608492570176,0.17979001994230828
3872,0.18257776800346123,0.18067065728986262,0.17947087671595863
3864,0.18315856467629713,0.18171749921808777,0.17987419899639953
3856,0.1830501215275844,0.18260382397764294,0.18079330550566142
3848,0.18223352250112912,0.18294573811005066,0.1818322752582921
3840,0.18094967183703173,0.18255909080516389,0.18255120979949127
3832,0.17961090701876758,0.18152703828855521,0.18262763064663184
3824,0.17864971337049876,0.18016953404839142,0.18197479569040592
3816,0.17836004647125134,0.17892593884728483,0.18077352461808224
3808,0.1787894807227085,0.17819382055844454,0.17940585670524559
3800,0.1797217544419934,0.17818308768929686,0.17831488173594037
3792,0.18075611563325467,0.17883897457117467,0.17784217167189142
3784,0.18145435670922294,0.17986213472111429,0.17810245891037052
3776,0.18150159155843792,0.18081847018076652,0.17894154130710055
3768,0.18082178632787674,0.18129840077293147,0.17999285848674637
3760,0.17960565601866368,0.18106713785673234,0.18081198176006907
3752,0.17824069171643411,0.18015082758527434,0.18103967369505794
3744,0.17716899125849975,0.17882695795942988,0.18053369126784558
3736,0.17672505484539261,0.17752254930133404,0.17942097440730448
3728,0.17701305790698837,0.17665748176163518,0.17805107211072654
3720,0.17786862944551371,0.17649044253453847,0.17686789395094085
3712,0.17891915926829852,0.17702401429164108,0.17624684096745724
3704,0.1797205075650111,0.17800372760736541,0.17635707213578433
3696,0.17991995848997527,0.17901142503829562,0.17709944043981474
3688,0.17938563056235762,0.1796186818519509,0.17814286961868711
3680,0.17825486359128598,0.17954399379353855,0.1790458250673313
3672,0.17688382910624029,0.17875606016414711,0.17941831157669008
3664,0.17571685207671789,0.17748526795457822,0.1790649614220392
3656,0.17512338939558611,0.17613916354009612,0.17805671420316632
3648,0.17526247723824981,0.17515292512120068,0.17670478931513384
3640,0.17602438116049596,0.17482969712949667,0.17544650047310167
3632,0.17707085734148847,0.175229367432753,0.17468480660422198
3624,0.1779592532410019,0.17614659465355509,0.17464046740966216
3616,0.17830491550697061,0.17718614731336091,0.17527104728365109
3608,0.17792231815264817,0.17790791309296644,0.17628648481205683
3600,0.17689313149282343,0.17798837474084617,0.1772555154476175
3592,0.17553625754792185,0.17733930759648969,0.17776390119728719
3584,0.17429082583776931,0.17614014895881938,0.17756641331777273
3576,0.17355507806240927,0.17477216307449503,0.17667680601824987
3568,0.17354025440434848,0.1736785564175739,0.17536277008541029
3560,0.17419309013633541,0.17320186655124795,0.17404771793158741
3552,0.17521535830103144,0.17345828611822653,0.17315543484227691
3544,0.1761732883128205,0.17429503211744915,0.17295459342229824
3536,0.1766567151228679,0.1753464015557398,0.17346017843262854
3528,0.17642956759314737,0.1761679468251644,0.17442798895711817
3520,0.17551648234539483,0.17639954226226198,0.17544423504298362
3512,0.17419376472754572,0.17589751325850939,0.1760773560802463
3504,0.17288801330313294,0.17478735015313179,0.17603635921669683
3496,0.17201960225405896,0.17341766635247272,0.17527758392793724
3488,0.17184844756221015,0.17223229332783932,0.17402072115977832
3480,0.17237864493289709,0.17160744049003213,0.17266820969840044
3472,0.17335696756796937,0.17171366554490394,0.17165758304569184
3464,0.17436577501281283,0.1724532980597058,0.17130094035594057
3456,0.17497624518159408,0.17349627543401797,0.17167043915768407
3448,0.17490570930170182,0.17440124328119638,0.17257182235990548
3440,0.17412136421257232,0.17477748900947698,0.17361569256646947
3432,0.17285231050149621,0.17442829586912958,0.17436038358189113
3424,0.17150550001384657,0.17342312158375517,0.17447401026953874
3416,0.17051643174034162,0.17207211983227,0.17385624154156815
3408,0.17018937583965502,0.17081235309555154,0.17267511885197542
3400,0.17058574781572683,0.17004744572363101,0.17130541228258866
3392,0.17150158892982334,0.16999950893462898,0.17019113208763501
3384,0.17254241637849238,0.17062766718617189,0.1696826409653516
3376,0.17326798242073446,0.17164307984470478,0.16990813157438997
3368,0.17335383266092808,0.17261494864866991,0.17072662571597791
3360,0.17271039063550617,0.17312861954495123,0.1717797420468298
3352,0.17151587993313375,0.1729377748148373,0.17262324191436901
3344,0.1701510085609341,0.1720548803898167,0.1728900932775623
3336,0.16905938427332928,0.17074670810843601,0.17242522964705956
3328,0.16858487967857208,0.16943658139715512,0.17134256700044481
3320,0.16884562415908724,0.1685492169205626,0.16998336610998763
3312,0.16969086269275116,0.16835509743594154,0.16879122511717679
3304,0.17075651951699369,0.16887148456244017,0.16814957677962888
3296,0.17159909168113882,0.16985640077633837,0.16824132335905642
3288,0.17185876026570471,0.17089780154745896,0.16898212162151263
3280,0.17139188899095087,0.17156523536975701,0.17005181023197677
3272,0.17032431345977042,0.17156836466213143,0.17101246551773711
3264,0.16900588776268061,0.17086420508327446,0.17146978968358315
3256,0.16788298521547421,0.16967375752765321,0.17121863867457915
3248,0.16733575379173249,0.16840195203258823,0.17031931740422626
