wavenumber,sample_percent_T
900,75.469079799401783
910,75.205952945372061
920,75.094296118314034
930,75.176825927387867
940,75.387975054748964
950,75.589711897400363
960,75.648383001020107
970,75.511064005074275
980,75.236262972534234
990,74.959816765750503
1000,74.817313615013674
1010,74.86877587473866
1020,75.066056969965018
1030,75.279121732010239
1040,75.368136494081924
1050,75.263026355202726
1060,75.004085850075541
1070,74.718427789184844
1080,74.547081445618318
1090,74.566288218602423
1100,74.745963181954508
1110,74.96613238237714
1120,75.083187058478131
1130,75.011239644413308
1140,74.771805743021687
1150,74.481174575345278
1160,74.283452233596677
1170,74.269757633458482
1180,74.4284145754403
1190,74.651385846260666
1200,74.793725654901436
1210,74.755331014816406
1220,74.538702810838871
1230,74.247397765176629
1240,74.026187824037663
1250,73.979494092684888
1260,74.114100043348813
1270,74.335564901247395
1280,74.500034867576005
1290,74.495016139689966
1300,74.304090946320883
1310,74.016398610150475
1320,73.774957969574018
1330,73.695705443849306
1340,73.803635922608663
1350,74.019316281965985
1360,74.20234382619104
1370,74.229810807084675
1380,74.066729786945686
1390,73.786252565076609
1400,73.527004016250856
1410,73.414008967794572
1420,73.489135397375492
1430,73.687760424031211
1440,73.87301655275003
1450,73.910314143519827
1460,73.741644948591286
1470,73.415325307319364
1480,73.052021428360476
1490,72.76763785814191
1500,72.598062328358253
1510,72.466176844177667
1520,72.207907081829703
1530,71.644793861678664
1540,70.664608982374872
1550,69.263073139382385
1560,67.521987566570758
1570,65.541281253887519
1580,63.371931932271529
1590,60.992620281925667
1600,58.343332831885078
1610,55.394170059201805
1620,52.205132671445988
1630,48.937194676382823
1640,45.807811419783633
1650,43.021123248188964
1660,40.713994650307619
1670,38.940319482317605
1680,37.690469370332671
1690,36.928865295231965
1700,36.630886133400743
1710,36.804429420128827
1720,37.488667142624507
1730,38.731535835554496
1740,40.555026364659085
1750,42.921436219632824
1760,45.715627546255739
1770,48.757118911285843
1780,51.845473371452336
1790,54.821268777651632
1800,57.607479033144372
1810,60.203143054943233
1820,62.632755662112373
1830,64.885634543667749
1840,66.886501336829284
1850,68.519436704183107
1860,69.693767014771197
1870,70.41024278516683
1880,70.781023770779967
1890,70.986359888595658
1900,71.193138229925538
1910,71.482397304154262
1920,71.82384876477461
1930,72.10907071108808
1940,72.225838213901199
1950,72.13315751795767
1960,71.893046041953113
1970,71.639958247796159
1980,71.507717323332841
1990,71.557627888234322
2000,71.74679138485682
2010,71.952573037630714
2020,72.041217682629863
2030,71.94431187334466
2040,71.69865571444079
2050,71.424877116271446
2060,71.258290553017133
2070,71.273382518877369
2080,71.443235696991962
2090,71.654250418191765
2100,71.768859534745687
2110,71.703428502786394
2120,71.476623950788749
2130,71.198448286525533
2140,71.006878007126701
2150,70.990457908508034
2160,71.139882567074196
2170,71.353139166376891
2180,71.491625328119497
2190,71.458286016864974
2200,71.253599470729839
2210,70.97521242783003
2220,70.761494394567677
2230,70.713539693410553
2240,70.839683518955013
2250,71.051068626290359
2260,71.21037915553579
2270,71.208906367128307
2280,71.02906586917706
2290,70.754562460664346
2300,70.521848067502262
2310,70.442840335871665
2320,70.543252730604294
2330,70.74871721516422
2340,70.925471971655966
2350,70.955099081927003
2360,70.802388288105547
2370,70.535759813497307
2380,70.28747007341515
2390,70.178357972445227
2400,70.250969851361077
2410,70.446501736014
2420,70.636909108847235
2430,70.696129773084536
2440,70.572035957308614
2450,70.316647334692078
2460,70.055760338747106
2470,69.917004992898924
2480,69.95882924139417
2490,70.13864894300103
2500,70.335979524666357
2510,70.419042991989997
2520,70.319496058871493
2530,70.07176005978036
2540,69.792532067258051
2550,69.613353429753531
2560,69.60659142024484
2570,69.745359755676461
2580,69.917500530696955
2590,69.986663869051569
2600,69.868487765972731
2610,69.578092642812976
2620,69.219576277173005
2630,68.924180096271897
2640,68.774712754891667
2650,68.758478411113259
2660,68.772728291822986
2670,68.679793883621343
2680,68.383180424269369
2690,67.881365138243993
2700,67.266435752022204
2710,66.668829745682373
2720,66.182641741185307
2730,65.814292539292566
2740,65.480971975636706
2750,65.058827742890045
2760,64.455328656951707
2770,63.664944166881099
2780,62.77465543029129
2790,61.916668395914165
2800,61.198374577624328
2810,60.64992487688108
2820,60.215819110806834
2830,59.792923983295623
2840,59.294431588130912
2850,58.704521797581755
2860,58.091759459055723
2870,57.573695436785158
2880,57.254919729652123
2890,57.173957625048963
2900,57.285892650777562
2910,57.488343613658223
2920,57.677918993933531
2930,57.807674121571871
2940,57.912585576493136
2950,58.087340489539606
2960,58.429725609748573
2970,58.982195295322583
2980,59.702817886710072
2990,60.480868967028876
3000,61.190866353120441
3010,61.757659257254382
3020,62.194974508838683
3030,62.592874536387065
3040,63.061160886418101
3050,63.662299973443325
3060,64.371287549385812
3070,65.084009373413934
3080,65.671180607157993
3090,66.050040555354158
3100,66.232176344957026
3110,66.31717833927101
3120,66.435579174552501
3130,66.675644345955305
3140,67.035255323340863
3150,67.423923656274482
3160,67.71416510187926
3170,67.815593463158194
3180,67.72951615360391
3190,67.550370849421952
3200,67.413005567717363
3210,67.41815270380684
3220,67.5784332928732
3230,67.812836884280074
3240,67.99236392562436
3250,68.013548940352024
3260,67.858960136362299
3270,67.608108499439481
3280,67.39196366399068
3290,67.319226241578377
3300,67.416781372466289
3310,67.615485592580512
3320,67.788242725602942
3330,67.821192660362684
3340,67.679101271916977
3350,67.425921220960049
3360,67.187674471625641
3370,67.080776235070488
3380,67.147626114680605
3390,67.33366019214202
3400,67.517173381810906
3410,67.577014781178434
3420,67.461736660140531
3430,67.219444522364583
3440,66.969743536095251
3450,66.835357414965102
3460,66.873877348839855
3470,67.046456800119287
3480,67.239016909615842
3490,67.325424799583246
3500,67.239176876260601
3510,67.011923900827227
3520,66.754956564055931
3530,66.595310216458742
3540,66.604782134846701
3550,66.760781694160642
3560,66.958684058522067
3570,67.069552273723929
3580,67.013097418365462
3590,66.804094212411115
3600,66.543688265987782
3610,66.361101600603462
3620,66.34108339471328
3630,66.477541195316334
3640,66.676933593459196
3650,66.809701688860912
3660,66.783256228001108
3670,66.5953634155195
3680,66.335367029932186
3690,66.13251491921622
3700,66.083048139976384
3710,66.197348473487409
3720,66.394387766114107
3730,66.546148966395251
3740,66.549422408095225
3750,66.385129597315384
3760,66.129363709163698
3770,65.909240746125249
3780,65.830852691837578
3790,65.920769410935449
