wavenumber,sample_fraction_T
3600,0.66376083781273587
3595,0.66425935863672658
3590,0.66515251635585648
3585,0.66633348836292261
3580,0.66765319640006437
3575,0.66894154853106402
3570,0.67003213978873644
3565,0.67078688899453509
3560,0.67111683530382116
3555,0.67099571285606907
3550,0.67046400385156568
3545,0.66962276766756501
3540,0.66861830511166354
3535,0.66762023153124739
3530,0.66679647948911969
3525,0.66628900448269834
3520,0.66619360237787972
3515,0.66654646630679626
3510,0.66731912720346898
3505,0.66842237743048283
3500,0.6697187236020129
3495,0.67104186367005436
3490,0.67222067935819285
3485,0.67310440981005271
3480,0.67358523601836862
3475,0.67361466924305591
3470,0.67321099909287407
3465,0.67245651846372567
3460,0.67148500144145939
3455,0.67046155728548318
3450,0.66955815084079351
3445,0.6689285683948093
3440,0.66868643163827257
3435,0.66888919340848485
3430,0.66953010949756431
3425,0.67053914292755479
3420,0.67179270089135867
3415,0.67313104698474602
3410,0.67438119782007389
3405,0.6753822038085624
3400,0.67600911883792014
3395,0.67619190629658643
3390,0.67592615893446917
3385,0.67527379966924694
3380,0.67435363895261113
3375,0.67332340179255656
3370,0.67235620372320937
3365,0.67161518341455506
3360,0.67123003371346168
3355,0.67127864285682504
3350,0.67177618260676641
3345,0.6726729578935029
3340,0.67386127470908752
3335,0.67519052105156063
3330,0.67648860354612295
3325,0.6775869103120431
3320,0.67834524188915102
3315,0.67867289006383413
3310,0.67854243753622545
3305,0.67799394006170199
3300,0.67712876515290288
3295,0.6760941436402127
3290,0.67506102643393107
3285,0.67419880284800293
3280,0.67365069880570849
3275,0.67351330903747209
3270,0.67382293006024374
3265,0.67455036646431454
3260,0.6756048257324665
3255,0.67684645029380142
3250,0.67810597104456327
3245,0.67920894913116781
3240,0.68000123519821676
3235,0.68037183009936653
3230,0.68026949242102752
3225,0.67971030746019756
3220,0.67877491005180779
3215,0.67759583546987567
3210,0.67633714401588751
3205,0.67516965206634705
3200,0.67424560197404004
3195,0.67367642708234854
3190,0.67351658965111416
3185,0.67375551366772191
3180,0.67431857639130366
3175,0.67507704493086074
3170,0.67586576649489172
3165,0.67650637116172163
3160,0.6768328275221972
3155,0.67671559782554214
3150,0.67608059623454253
3145,0.67491981055062256
3140,0.67329177221238934
3135,0.67131180301763382
3130,0.66913373089575334
3125,0.66692614352285717
3120,0.66484696773938434
3115,0.66302016934195085
3110,0.66151779685112011
3105,0.66034967017224366
3100,0.65946194571771699
3095,0.65874469277204706
3090,0.65804753169719865
3085,0.65720133555901561
3080,0.65604305987790845
3075,0.65444010436669198
3070,0.65231044037228048
3065,0.64963522749924951
3060,0.64646180773081596
3055,0.64289660994056841
3050,0.63908925514562132
3045,0.63521061011546498
3040,0.63142838531544188
3035,0.62788400715964676
3030,0.62467401369148856
3025,0.62183834758938861
3020,0.61935687794997707
3015,0.61715442420881073
3010,0.61511354263687734
3005,0.61309338424575333
3000,0.61095208413164859
2995,0.6085695094635506
2990,0.60586694983950851
2985,0.60282064128456969
2980,0.59946692575397231
2975,0.59589823635721095
2970,0.59225067201956738
2965,0.58868531768473886
2960,0.58536637144725001
2955,0.58243941791002851
2950,0.58001288835154641
2945,0.57814505571877017
2940,0.57683803858177662
2935,0.57603938754862449
2930,0.57565096418938888
2925,0.57554399824077906
2920,0.57557842796379743
2915,0.5756239555194288
2910,0.57557982351685255
2905,0.57539031067346813
2900,0.57505346914874944
2895,0.57462166166944295
2890,0.57419381503723976
2885,0.57390068362703817
2880,0.57388550031506702
2875,0.57428297689105312
2870,0.57519966042418014
2865,0.57669826080064013
2860,0.5787879092609145
2855,0.581421537969395
2850,0.5845007624178874
2845,0.58788781035018212
2840,0.5914231676605084
2835,0.59494675032029476
2830,0.59831969754989756
2825,0.60144351795083562
2820,0.60427349758253002
2815,0.60682407332400756
2810,0.60916518020781074
2805,0.61141011961348268
2800,0.61369690904161678
2795,0.6161660584363321
2790,0.61893812122447134
2785,0.62209421625501382
2780,0.6256621561882334
2775,0.62961002052306569
2770,0.63384809709334822
2765,0.63823913092669271
2760,0.64261577588402086
2755,0.64680308960586652
2750,0.6506429816516085
2745,0.65401693934230343
2740,0.65686334971837901
2735,0.65918644261898462
2730,0.66105523681788336
2725,0.6625926034182783
2720,0.66395626360835081
2715,0.66531482373003636
2710,0.66682258465351796
2705,0.66859682031354117
2700,0.67070064723215594
2695,0.67313371432835412
2690,0.6758319053103059
2685,0.67867615472981668
2680,0.68150936101378889
2675,0.68415926952837647
2670,0.68646420410940689
2665,0.68829784682363393
2660,0.68958914068866084
2655,0.69033398383496292
2650,0.69059667977079009
2645,0.69050086729929583
2640,0.69021147342640632
2635,0.68991069153122597
2630,0.68977179537985067
2625,0.6899346840350753
2620,0.69048653796645176
2615,0.69145007669860248
2610,0.69278085114998178
2605,0.69437390092904661
2600,0.69607899624556846
2595,0.69772258243488139
2590,0.69913352458273104
2585,0.70016897761146435
2580,0.70073641447676505
2575,0.70080822941970033
2570,0.70042644177525282
2565,0.69969668648112604
2560,0.69877252683444957
2555,0.69783273135907575
2550,0.69705517725242927
2545,0.69659133635583936
2540,0.69654493919521665
2535,0.69695760673044871
2530,0.69780321334811146
2525,0.69899165049989587
2520,0.70038155651002432
2515,0.70180047644661425
2510,0.70306986102805957
2505,0.70403143957554404
2500,0.70457102691614992
2495,0.70463597050793469
2490,0.70424332131689626
2485,0.70347732368520266
2480,0.70247665622198829
2475,0.70141359075590715
2470,0.70046848049003618
2465,0.69980352603086615
2460,0.69953960567094342
2455,0.69973927052109508
2450,0.70039802853853572
2445,0.70144495715997246
2440,0.70275257930443535
2435,0.70415483089947128
2430,0.70547086469940712
2425,0.70653147635392244
2420,0.70720430046986715
2415,0.70741384113679096
2410,0.70715303429488852
2405,0.70648436716301199
2400,0.70553035825715837
2395,0.70445502573145335
2390,0.70343942071413335
2385,0.70265509028273032
2380,0.70223939465616747
2375,0.70227606578671753
2370,0.70278348795393852
2365,0.70371211446651594
2360,0.70495132833866758
2355,0.70634494394702674
2350,0.70771344494562516
2345,0.70888003159070379
2340,0.70969677547782106
2335,0.71006688445517285
2330,0.70995946549857303
2325,0.7094142880858032
2320,0.70853572330355119
2315,0.70747689927889967
2310,0.70641673601423338
2305,0.70553355576426791
